,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
51,H-Nucleophiles,-3.4,H-C hydride donors,C[Ge](C)(C)CCC[Ge](C)(C)C,CC#N
52,H-Nucleophiles,-1.2,H-C hydride donors,C[Si](C)(C)CCC[Pb](C)(C)C,CC#N
53,H-Nucleophiles,-1,H-C hydride donors,C[Ge](C)(C)CCC[Pb](C)(C)C,CC#N
54,N-Nucleophiles,14.3,Aliphatic amines,CCOC(=O)CN,CS(C)=O
55,O-Nucleophiles,15.4,Alkoxide Anions,[O-]O,O
56,H-Nucleophiles,-5.1,H-C hydride donors,CCOCC,ClCCl
57,H-Nucleophiles,-3.5,H-C hydride donors,C1CCOC1,ClCCl
58,H-Nucleophiles,-4.9,H-C hydride donors,COCOC,ClCCl
59,H-Nucleophiles,-3.3,H-C hydride donors,CC1OCCO1,ClCCl
60,H-Nucleophiles,-2.4,H-C hydride donors,C[C@H]1OCO[C@@H]1C,ClCCl
61,H-Nucleophiles,-3,H-C hydride donors,CC1O[C@@H](C)[C@H](C)O1,ClCCl
62,H-Nucleophiles,-2.9,H-C hydride donors,CCC1O[C@H](C)[C@@H](C)O1,ClCCl
63,N-Nucleophiles,15.7,Aliphatic amines,CCCN,CS(C)=O
64,H-Nucleophiles,-2.6,H-C hydride donors,C=CC1O[C@@H](C)[C@H](C)O1,ClCCl
65,H-Nucleophiles,-4.1,H-C hydride donors,CC(C)C1O[C@@H](C)[C@H](C)O1,ClCCl
66,H-Nucleophiles,-2.5,H-C hydride donors,CC1O[C@@H](C)[C@@H](C)O1,ClCCl
67,H-Nucleophiles,-2.4,H-C hydride donors,CCC1O[C@@H](C)[C@@H](C)O1,ClCCl
68,H-Nucleophiles,-3.5,H-C hydride donors,CC(C)C1O[C@@H](C)[C@@H](C)O1,ClCCl
69,H-Nucleophiles,-3.8,H-C hydride donors,C1CCOCOC1,ClCCl
70,H-Nucleophiles,-7,H-C hydride donors,COc1ccc(C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CC#N
71,H-Nucleophiles,-4.2,H-C hydride donors,CN(C)c1ccc(C(c2ccccc2)c2ccc(N(C)C)cc2)cc1,CC#N
72,O-Nucleophiles,16.83,S- and Se-Nucleophiles,O=S([O-])[O-],O
73,H-Nucleophiles,4,H-C hydride donors,CN1c2ccccc2Cc2ccccc21,CC#N
74,H-Nucleophiles,-2.5,H-C hydride donors,C1=CCc2ccccc2C1,CC#N
75,H-Nucleophiles,-3.3,H-C hydride donors,C1=Cc2ccccc2CC1,CC#N
76,N-Nucleophiles,12.92,Imidazolines and related compounds,CC1=NCCN1,ClCCl
77,N-Nucleophiles,12.31,Imidazolines and related compounds,c1ccc(C2=NCCN2)cc1,ClCCl
78,N-Nucleophiles,10.03,Imidazolines and related compounds,CC(=O)N1CCN=C1C,ClCCl
79,N-Nucleophiles,13.11,Imidazolines and related compounds,c1ccc(CN2CCN=C2c2ccccc2)cc1,ClCCl
80,N-Nucleophiles,10.2,Imidazolines and related compounds,CC1=NCCS1,ClCCl
81,N-Nucleophiles,9.81,Imidazolines and related compounds,CC1=NCCO1,ClCCl
82,N-Nucleophiles,13.12,Amidines and Imines,CC1=NCCC1,ClCCl
83,N-Nucleophiles,16.96,Aliphatic amines,C1COCCN1,CS(C)=O
84,N-Nucleophiles,15.21,Imidazolines and related compounds,CC1=NCCCN1,ClCCl
85,N-Nucleophiles,14.62,Imidazolines and related compounds,c1ccc(C2=NCCCN2)cc1,ClCCl
86,C-Nucleophiles,27.54,Carbanions,CCOC(=O)[CH-]c1ccccc1,CS(C)=O
87,C-Nucleophiles,27.57,Carbanions,CCOC(=O)[CH-]c1cccc(Cl)c1,CS(C)=O
88,C-Nucleophiles,27.62,Carbanions,CCOC(=O)[CH-]c1ccc(Br)cc1,CS(C)=O
89,C-Nucleophiles,23.64,Carbanions,CCOC(=O)[CH-]c1ccc(C#N)cc1,CS(C)=O
90,C-Nucleophiles,20,Carbanions,CCOC(=O)[CH-]c1ccc([N+](=O)[O-])cc1,CS(C)=O
91,C-Nucleophiles,23.27,Carbanions,CCOC(=O)[CH-]c1ccncc1,CS(C)=O
92,N-Nucleophiles,17.19,Aliphatic amines,C1CCNCC1,CS(C)=O
93,C-Nucleophiles,9.55,Alkyl and Aryl Boron Compounds,Cn1c([B-](F)(F)F)cc2ccccc21,CC#N
94,C-Nucleophiles,8.77,Alkyl and Aryl Boron Compounds,Cn1ccc2cc([B-](F)(F)F)ccc21,CC#N
95,C-Nucleophiles,6.46,Alkyl and Aryl Boron Compounds,CC(C)(C)OC(=O)n1c([B-](F)(F)F)cc2ccccc21,CC#N
96,C-Nucleophiles,7.1,Alkyl and Aryl Boron Compounds,COc1ccc2c(c1)cc([B-](F)(F)F)n2C(=O)OC(C)(C)C,CC#N
97,C-Nucleophiles,4.06,Alkyl and Aryl Boron Compounds,CC(C)(C)OC(=O)n1cc([B-](F)(F)F)c2ccccc21,CC#N
98,C-Nucleophiles,1.68,Arenes,CC(C)(C)OC(=O)n1ccc2ccccc21,CC#N
99,C-Nucleophiles,5.99,Alkyl and Aryl Boron Compounds,F[B-](F)(F)c1ccco1,CC#N
100,C-Nucleophiles,6.83,Alkyl and Aryl Boron Compounds,F[B-](F)(F)c1ccoc1,CC#N
101,C-Nucleophiles,7.32,Alkyl and Aryl Boron Compounds,COc1ccsc1[B-](F)(F)F,CC#N
102,C-Nucleophiles,3.06,Arenes,COc1ccsc1,CC#N
103,S-Nucleophiles,22.62,S- and Se-Nucleophiles,O=C([O-])C[S-],O
104,N-Nucleophiles,8.6,Amidines and Imines,C/N=C/c1ccccc1,ClCCl
105,N-Nucleophiles,7.9,Amidines and Imines,C(=N/Cc1ccccc1)\c1ccccc1,ClCCl
106,N-Nucleophiles,9.53,Amidines and Imines,CC(C)=Nc1ccccc1,ClCCl
107,N-Nucleophiles,11.13,Amidines and Imines,CC(C)=NCc1ccccc1,ClCCl
108,N-Nucleophiles,8.8,Amidines and Imines,c1ccc(N=C2CCCCC2)cc1,ClCCl
109,C-Nucleophiles,13.91,Carbanions,CC1(C)OC(=O)[CH-]C(=O)O1,CS(C)=O
110,C-Nucleophiles,14.4,Azolium enolates,C/C(=C(/[O-])c1n(-c2c(C)cc(C)cc2C)cc[n+]1-c1c(C)cc(C)cc1C)c1ccccc1,CS(C)=O
111,C-Nucleophiles,16.27,Carbanions,CC1(C)CC(=O)[CH-]C(=O)C1,CS(C)=O
112,N-Nucleophiles,19.31,"Hydrazines, Hydroxylamines etc.",C=NN(C)C,ClCCl
113,C-Nucleophiles,7.84,Diazo Compounds and Hydrazones,C=NN1CCCC1,ClCCl
114,C-Nucleophiles,26.71,Ylides,CCOC(=O)[CH-][n+]1ccccc1,CS(C)=O
115,C-Nucleophiles,27.45,Ylides,CCN(CC)C(=O)[CH-][n+]1ccccc1,CS(C)=O
116,C-Nucleophiles,25.94,Ylides,N#C[CH-][n+]1ccccc1,CS(C)=O
117,C-Nucleophiles,20.24,Ylides,CC(=O)[CH-][n+]1ccccc1,CS(C)=O
118,C-Nucleophiles,19.46,Ylides,O=C([CH-][n+]1ccccc1)c1ccccc1,CS(C)=O
119,C-Nucleophiles,21.61,Ylides,CN(C)c1cc[n+]([CH-]C(=O)c2ccccc2)cc1,CS(C)=O
120,C-Nucleophiles,17.98,Ylides,O=C([CH-][n+]1cccc(Cl)c1)c1ccccc1,CS(C)=O
121,C-Nucleophiles,17.64,Carbanions,CC(=O)[CH-]C(C)=O,CS(C)=O
122,C-Nucleophiles,19.38,Ylides,O=C([CH-][n+]1cccc2ccccc21)c1ccccc1,CS(C)=O
123,C-Nucleophiles,20.08,Ylides,O=C([CH-][n+]1ccc2ccccc2c1)c1ccccc1,CS(C)=O
124,C-Nucleophiles,-1.46,Vinylsilanes,C=C(C)[Si](C)(C)C,ClCCl
125,C-Nucleophiles,-0.26,Vinylsilanes,C=C(C)[Si](C)(C)[Si](C)(C)C,ClCCl
126,C-Nucleophiles,-0.31,Vinylsilanes,C=C(C)[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ClCCl
127,C-Nucleophiles,-1.13,Vinylsilanes,C=C(c1ccccc1)[Si](C)(C)C,ClCCl
128,C-Nucleophiles,0.61,Vinylsilanes,C=C(c1ccccc1)[Si](C)(C)[Si](C)(C)C,ClCCl
129,C-Nucleophiles,-0.43,Vinylsilanes,C[Si](C)(C)/C=C/c1ccccc1,ClCCl
130,C-Nucleophiles,5.38,Allyl Element Compounds,C=C(C[Si](C)(C)C)c1ccccc1,ClCCl
131,C-Nucleophiles,-0.65,Vinylsilanes,C=C(c1ccc(C)cc1)[Si](C)(C)C,ClCCl
132,C-Nucleophiles,18.82,Carbanions,CCOC(=O)[CH-]C(C)=O,CS(C)=O
133,C-Nucleophiles,5.16,"Enamines, NHOs, Enamides and Ynamides",CCC#CN(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,ClCCl
134,C-Nucleophiles,4.4,"Enamines, NHOs, Enamides and Ynamides",COc1ccccc1C#CN(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,ClCCl
135,C-Nucleophiles,3.85,"Enamines, NHOs, Enamides and Ynamides",Cc1ccc(S(=O)(=O)N(C#Cc2ccccc2)Cc2ccccc2)cc1,ClCCl
136,C-Nucleophiles,3.12,"Enamines, NHOs, Enamides and Ynamides",O=C1CCCN1C#Cc1ccccc1,ClCCl
137,N-Nucleophiles,14.57,"Pyridines, Quinolines etc.",FC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1c1ccncc1,ClCCl
138,C-Nucleophiles,19.36,Carbanions,N#C[CH-]C#N,CS(C)=O
139,C-Nucleophiles,7.15,H-C hydride donors,CN(C)c1ccc(C[C-]2C(=O)OC(C)(C)OC2=O)cc1,CC#N
140,C-Nucleophiles,19.62,Carbanions,CCOC(=O)[CH-]C#N,CS(C)=O
141,C-Nucleophiles,6.21,H-C hydride donors,COc1ccc(C[C-]2C(=O)OC(C)(C)OC2=O)cc1,CC#N
142,C-Nucleophiles,5.51,H-C hydride donors,CC1(C)OC(=O)[C-](Cc2ccccc2)C(=O)O1,CC#N
143,C-Nucleophiles,13.79,Carbanions,CC1(C)OC(=O)[C-](Cc2ccc(C#N)cc2)C(=O)O1,CS(C)=O
144,C-Nucleophiles,12.02,Carbanions,CC1(C)OC(=O)[C-](Cc2ccc([N+](=O)[O-])cc2)C(=O)O1,CS(C)=O
145,C-Nucleophiles,20.22,Carbanions,CCOC(=O)[CH-]C(=O)OCC,CS(C)=O
146,H-Nucleophiles,1.88,H-C hydride donors,CC1=CCC(C)=CC1,ClCCl
147,H-Nucleophiles,4.95,H-C hydride donors,CC1=CC(C)C=C(C)C1,ClCCl
148,H-Nucleophiles,4.27,H-C hydride donors,CC1=C(C)CC(C)=C(C)C1,ClCCl
149,H-Nucleophiles,-2.11,H-C hydride donors,COc1ccc(Cc2ccc(OC)cc2)cc1,ClCCl
150,C-Nucleophiles,12.26,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCCC1)\c1ccccc1,ClCCl
151,C-Nucleophiles,-0.47,Alkenes,C=C1CC1,ClCCl
152,C-Nucleophiles,10.19,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCCC1C(c1ccccc1)(c1ccccc1)c1ccccc1)\c1ccccc1,ClCCl
153,C-Nucleophiles,11.77,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCCC1[Si](c1ccccc1)(c1ccccc1)c1ccccc1)\c1ccccc1,ClCCl
154,C-Nucleophiles,23.15,Carbanions,O=C([CH-]c1ccccc1)c1ccccc1,CS(C)=O
155,C-Nucleophiles,19.28,Carbanions,CCN(CC)C(=O)[CH-]C(=O)c1ccccc1,CS(C)=O
156,C-Nucleophiles,17.52,Carbanions,CCOC(=O)[CH-]C(=O)c1ccccc1,CS(C)=O
157,C-Nucleophiles,16.55,Carbanions,N#C[CH-]C(=O)c1ccccc1,CS(C)=O
158,C-Nucleophiles,16.03,Carbanions,CC(=O)[CH-]C(=O)c1ccccc1,CS(C)=O
159,C-Nucleophiles,17.46,Carbanions,O=C([CH-]C(=O)c1ccccc1)c1ccccc1,CS(C)=O
160,C-Nucleophiles,17.19,Carbanions,O=C([CH-]S(=O)(=O)c1ccccc1)c1ccccc1,CS(C)=O
161,C-Nucleophiles,13.91,Carbanions,O=C([CH-][N+](=O)[O-])c1ccccc1,CS(C)=O
162,C-Nucleophiles,1.65,Alkenes,C=C1CCC1,ClCCl
163,C-Nucleophiles,24.99,Carbanions,CC(=O)[CH-]c1ccccc1,CS(C)=O
164,C-Nucleophiles,25.77,Carbanions,O=S(=O)([CH-]c1ccccc1)c1ccccc1,CS(C)=O
165,C-Nucleophiles,15.24,Carbanions,CCOC(=O)[CH-][N+](=O)[O-],CS(C)=O
166,C-Nucleophiles,5.53,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(C)(C)C(C)(C)O2)s1,CC#N
167,C-Nucleophiles,6.24,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C(F)(F)F)cc3)OC(C)(C)C(C)(C)O2)s1,CC#N
168,C-Nucleophiles,6.77,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(Cl)cc3)OC(C)(C)C(C)(C)O2)s1,CC#N
169,C-Nucleophiles,7.24,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccccc3)OC(C)(C)C(C)(C)O2)s1,CC#N
170,C-Nucleophiles,6.98,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C)s3)OC(C)(C)C(C)(C)O2)cc1,CC#N
171,C-Nucleophiles,7.51,Alkyl and Aryl Boron Compounds,COc1ccc([B-]2(c3ccc(C)s3)OC(C)(C)C(C)(C)O2)cc1,CC#N
172,C-Nucleophiles,8.02,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(N(C)C)cc3)OC(C)(C)C(C)(C)O2)s1,CC#N
173,C-Nucleophiles,1.16,Alkenes,C=C1CCCCC1,ClCCl
174,C-Nucleophiles,7.67,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C)s3)OC(C)(C)C(C)(C)O2)s1,CC#N
175,C-Nucleophiles,8.13,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C(F)(F)F)cc3)OC(C)(C)C(C)(C)O2)o1,CC#N
176,C-Nucleophiles,11.23,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OCCO2)s1,CC#N
177,C-Nucleophiles,10.13,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OCC(C)(C)CO2)s1,CC#N
178,C-Nucleophiles,11.85,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C(F)(F)F)cc3)OCC(C)(C)CO2)s1,CC#N
179,C-Nucleophiles,6.5,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]2(c3ccc(C(F)(F)F)cc3)Oc3ccccc3O2)s1,CC#N
180,C-Nucleophiles,2.24,Alkenes,C=C1CCCCCC1,ClCCl
181,C-Nucleophiles,6.68,Allyl Element Compounds,C[Sn](C)(C)C1C=Cc2ccccc21,ClCCl
182,C-Nucleophiles,-0.1,Allyl Element Compounds,C[Si](C)(C)C1C=Cc2ccccc21,ClCCl
183,C-Nucleophiles,8.92,Alkyl and Aryl Boron Compounds,CC1(C)O[B-](Cc2ccccc2)(c2ccccc2)OC1(C)C,CC#N
184,N-Nucleophiles,13.4,Aliphatic amines,NCCc1ccccc1,O
185,C-Nucleophiles,10.97,Alkyl and Aryl Boron Compounds,CC(c1ccccc1)[B-]1(c2ccccc2)OC(C)(C)C(C)(C)O1,CC#N
186,C-Nucleophiles,7.15,Alkyl and Aryl Boron Compounds,CC1(C)O[B-](Cc2ccccc2)(c2ccc(C(F)(F)F)cc2)OC1(C)C,CC#N
187,C-Nucleophiles,8.56,Alkyl and Aryl Boron Compounds,CC(c1ccccc1)[B-]1(c2ccc(C(F)(F)F)cc2)OC(C)(C)C(C)(C)O1,CC#N
188,C-Nucleophiles,7.46,Alkyl and Aryl Boron Compounds,CC(c1ccccc1)[B-]1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC(C)(C)C(C)(C)O1,CC#N
189,C-Nucleophiles,3.16,Alkenes,C=C1CCCCCCC1,ClCCl
190,C-Nucleophiles,6.3,Alkyl and Aryl Boron Compounds,CC1(C)O[B-](Cc2ccccc2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC1(C)C,CC#N
191,C-Nucleophiles,6.63,Alkyl and Aryl Boron Compounds,CC(C)[B-]1(c2ccc(C(F)(F)F)cc2)OC(C)(C)C(C)(C)O1,CC#N
192,C-Nucleophiles,7.72,Alkyl and Aryl Boron Compounds,CC1(C)O[B-](c2ccc(C(F)(F)F)cc2)(C2CC2)OC1(C)C,CC#N
193,C-Nucleophiles,7.68,Alkyl and Aryl Boron Compounds,CC[B-]1(c2ccc(C(F)(F)F)cc2)OC(C)(C)C(C)(C)O1,CC#N
194,C-Nucleophiles,11.29,Alkyl and Aryl Boron Compounds,CC(c1ccccc1)[B-]1(c2ccc(C(F)(F)F)cc2)OCC(C)(C)CO1,CC#N
195,C-Nucleophiles,2.57,Alkenes,C=C1CCCCCCCC1,ClCCl
196,C-Nucleophiles,19.58,Carbanions,CCOC(=O)[C-](C)C(C)=O,CS(C)=O
197,C-Nucleophiles,18.63,Carbanions,CCOC(=O)[C-]1CCCC1=O,CS(C)=O
198,C-Nucleophiles,18.32,Carbanions,CCOC(=O)[C-]1CCCCC1=O,CS(C)=O
199,C-Nucleophiles,19.53,Carbanions,CCOC(=O)[C-]1CCCCCC1=O,CS(C)=O
200,C-Nucleophiles,2.82,Alkenes,C=C1CCCCCCCCC1,ClCCl
201,C-Nucleophiles,20.02,Carbanions,CCOC(=O)[C-]1CCCCCCC1=O,CS(C)=O
202,C-Nucleophiles,20.6,Carbanions,CCOC(=O)[C-]1CCCCCCCCCCC1=O,CS(C)=O
203,C-Nucleophiles,14.46,Carbanions,C[C-]1C(=O)CCOC1=O,CS(C)=O
204,C-Nucleophiles,17,Carbanions,CC(=O)[C-]1CCCOC1=O,CS(C)=O
205,H-Nucleophiles,10.04,H-B hydride donors,Fc1c(F)c(F)c([BH-](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CC#N
206,H-Nucleophiles,14.13,H-B hydride donors,Fc1cc(F)c([BH-](c2c(F)cc(F)cc2F)c2c(F)cc(F)cc2F)c(F)c1,CC#N
207,H-Nucleophiles,13.97,H-B hydride donors,Fc1cccc(F)c1[BH-](c1c(F)cccc1F)c1c(F)cccc1F,CC#N
208,C-Nucleophiles,18.74,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(C)C,CS(C)=O
209,C-Nucleophiles,23,Carbanions,CCCC[C-](C(=O)OCC)C(=O)OCC,CS(C)=O
210,C-Nucleophiles,2.33,Alkenes,C=C1CCCCCCCCCC1,ClCCl
211,C-Nucleophiles,19.23,Carbanions,CCOC(=O)[C-](C(=O)OCC)C1CCCCC1,CS(C)=O
212,C-Nucleophiles,15.93,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccccc1,CS(C)=O
213,C-Nucleophiles,14.94,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccc([N+](=O)[O-])cc1,CS(C)=O
214,C-Nucleophiles,15.33,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(=O)OCC,CS(C)=O
215,C-Nucleophiles,13.83,Carbanions,CCOC(=O)[C-](C(C)=O)C(=O)OCC,CS(C)=O
216,C-Nucleophiles,13.63,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(=O)c1ccccc1,CS(C)=O
217,C-Nucleophiles,11.54,Carbanions,CC1(C)OC(=O)[C-](c2ccccc2)C(=O)O1,CS(C)=O
218,C-Nucleophiles,12.35,Carbanions,COc1ccc([C-]2C(=O)OC(C)(C)OC2=O)cc1,CS(C)=O
219,C-Nucleophiles,16.73,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccc(OC)cc1,CS(C)=O
220,C-Nucleophiles,1.52,Alkenes,C=C1CCCCCCCCCCC1,ClCCl
221,N-Nucleophiles,10.4,"Pyridines, Quinolines etc.",CN1CCC[C@H]1c1cccnc1,ClCCl
222,N-Nucleophiles,10.9,"Pyridines, Quinolines etc.",Cc1cccnc1,ClCCl
223,N-Nucleophiles,16.8,Aliphatic amines,CN1CCCC1c1ccccc1,ClCCl
224,N-Nucleophiles,14.59,"Pyridines, Quinolines etc.",c1cc(N2CCOCC2)ccn1,ClCCl
225,C-Nucleophiles,1.69,Alkenes,C=C1CCCCCCCCCCCCCC1,ClCCl
226,C-Nucleophiles,4.36,Ylides,CC1(C)OC(=O)[C-]([I+]c2ccccc2)C(=O)O1,ClCCl
227,C-Nucleophiles,4.76,"Enamines, NHOs, Enamides and Ynamides",C=C(C)N(O[Si](C)(C)C)O[Si](C)(C)C,ClCCl
228,C-Nucleophiles,6.18,Ylides,CC1(C)CC(=O)[C-]([I+]c2ccccc2)C(=O)C1,ClCCl
229,C-Nucleophiles,7.98,Ylides,Cn1c(=O)[c-]([I+]c2ccccc2)c(=O)n(C)c1=O,ClCCl
230,C-Nucleophiles,4.67,Ylides,CC1CC(=O)[C-]([I+]c2ccccc2)C(=O)O1,ClCCl
231,C-Nucleophiles,15.68,Carbanions,O=S(=O)([CH-]S(=O)(=O)c1ccccc1)c1ccccc1,CS(C)=O
232,C-Nucleophiles,17.46,Carbanions,O=S(=O)(c1ccccc1)[C-](F)S(=O)(=O)c1ccccc1,CS(C)=O
233,C-Nucleophiles,17.29,Carbanions,CO[C-](S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,CS(C)=O
234,C-Nucleophiles,16.06,Carbanions,O=S1(=O)[CH-]S(=O)(=O)c2ccccc21,CS(C)=O
235,C-Nucleophiles,19.03,Carbanions,O=S1(=O)c2ccccc2S(=O)(=O)[C-]1F,CS(C)=O
236,C-Nucleophiles,17.36,Carbanions,CO[C-]1S(=O)(=O)c2ccccc2S1(=O)=O,CS(C)=O
237,C-Nucleophiles,18.81,Carbanions,CCOC(=O)[CH-]S(=O)(=O)c1ccccc1,CS(C)=O
